Latitude,Longitude,Name,Times recommended,Recommended by,Rating,Reviews,Category,Google category,Notes,Website
43.2376657,5.3615656,Le Cabanon de Paulette,1,Chloé,4,1466,Wine Bar,Bar,DINNER,https://www.instagram.com/lecabanondepaulette/
43.2890154,5.3788033,Cielo trattoria jogging,1,Chloé,4.5,164,Shop,Clothing Store,DRINKS,http://www.joggingjogging.com/
43.2979812,5.3709263,chez moe,1,Chloé,4.8,179,Coffee / Lunch,Cafe,COFFEE,http://chezmoe.fr/
43.28026759999999,5.351426699999999,Dropped pin near Plage de Maldormé / Anse de Maldormé,1,Riya,5,2,Other,Tourist Attraction,,
43.2816002,5.355082599999999,Théâtre Silvain,1,Riya,4.5,795,Culture,Performing arts theater,,http://www.culture-13.fr/annuaire/theatre-silvain.html
43.2992976,5.364701699999999,Cathédrale La Major,1,Riya,4.7,19866,Other,Church,,https://diocese-marseille.fr/paroisse/sanctuaire-sainte-marie-majeure-cathedrale-la-major/
43.2921702,5.3834715,LABC Sandwich Coffee,1,Riya,4.8,156,Dinner,Restaurant,,
43.2893514,5.3683054,Saint-Victor,1,Riya,,,Other,Neighborhood,,
43.2992631,5.3687469,Entre Terre & Mer,1,Riya,4.6,1301,Dinner,Restaurant,,https://entreterreetmermarseille.com/
43.2948055,5.3863582,Marché de la Plaine,1,Riya,4,1898,Shop,Market,,
43.2958107,5.3790985,Epicerie L'IDEAL,1,Riya,4.3,502,Shop,Grocery Or Supermarket,,http://www.epicerielideal.com/
43.2613455,5.3964892,Unité d'Habitation,1,Riya,4.5,2186,Other,Tourist Attraction,,http://www.marseille-citeradieuse.org/
43.2937261,5.3817243,Galerie d'art et design,1,Riya,4.8,16,Culture,Art Gallery,,https://latelierdesartsmarseille.fr/
43.2968039,5.3819483,Douceur Piquante,1,Tatiana,4.5,286,Dinner,Restaurant,,https://www.facebook.com/douceurpiquante13/
43.2954112,5.391344999999999,Chaleur Restaurant,1,Tatiana,4.7,106,Wine Bar,Bar,,
43.29936780000001,5.3858612,Grand Bar du Chapitre,1,Tatiana,3.9,139,Wine Bar,Bar,,
43.295483,5.385641,La Kaz Kréol,1,Tatiana,4.6,219,Dinner,Restaurant,Bokit sandwich is the best,https://website.dish.co/login
43.2967137,5.3810455,hammam eden,1,Tatiana,4.7,900,Other,Beauty Salon,Fave hammam in Marseille,http://www.hammam-marseille-eden.fr/
43.2936481,5.3845491,Si Par Azar,1,Tatiana,4.5,277,Dinner,Restaurant,For winter days,http://facebook.com/azarmarseille
43.2996734,5.3821097,Restaurant Zafer,1,Tatiana,4.8,616,Dinner,Restaurant,,
43.275017,5.304357,Frioul archipelago,1,Tatiana,4.6,549,Beach / Swim,Natural Feature,"Great day trip; boat from vieux port, book ahead in busy periods",
43.2952514,5.380146799999999,Hammam Rafik,1,Tatiana,4.6,241,Other,Beauty Salon,,https://1drv.ms/b/c/cc7c7533c720e902/IQDOadmWy5AQSovL26KxzUCiAU1nb06s3WAAHaMhSZH1-ik
43.3028025,5.389882699999999,123 Fripe,1,Tatiana,4.1,15,Shop,Clothing Store,Good charity shop,
43.3013889,5.3808333,Café l'Écomotive,1,Tatiana,4.3,1288,Coffee / Lunch,Cafe,,https://www.instagram.com/cafelecomotive/
43.29329509999999,5.391809299999999,Le Makeda,1,Tatiana,4.4,387,Culture,Concert hall,,http://lemakeda.com/
43.311218,5.3831364,L'Embobineuse,1,Tatiana,4.3,142,Culture,Performing arts theater,Fun small club,https://www.lembobineuse.biz/
43.30172899999999,5.392011999999999,Sing Or Die Karaoke,1,Tatiana,4.6,181,Wine Bar,Bar,Best karaoke in Marseille,https://sing-or-die-karaoke.eatbu.com/
43.292751,5.3834241,Restaurant Tabla,1,Tatiana,4.9,623,Dinner,Restaurant,,https://tablamarseille.fr/?utm_source=GBP
43.2945327,5.3855377,Le Magnolia,1,Tatiana,4.6,296,Coffee / Lunch,Cafe,,
